_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
haten.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.9591202894473567	-0.8375203738046619	NA	NA	bound	254	lex	3_3	1	no	5000	5000	all	4_4	196	haten	NA	NA	BOW
haten.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.8800839824505046	0.24725567807366913	NA	NA	bound	254	lex	3_3	1	no	FOC	195	nav	4_4	196	haten	NA	NA	BOW
haten.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.8522483518830438	0.2278226855048657	NA	NA	bound	254	lex	3_3	1	no	FOC	254	all	4_4	196	haten	NA	NA	BOW
haten.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	1.505334584331402	0.17810740671911326	NA	NA	bound	288	all	3_3	1	weight	5000	5000	nav	4_4	227	haten	NA	NA	BOW
haten.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	1.2565049948341456	-0.707500474004367	NA	NA	bound	288	all	3_3	1	weight	5000	5000	all	4_4	227	haten	NA	NA	BOW
haten.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	1.217933724014977	0.7703362073949479	NA	NA	bound	288	all	3_3	1	weight	FOC	142	nav	4_4	227	haten	NA	NA	BOW
haten.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	1.2893139587576568	0.6851529055906787	NA	NA	bound	288	all	3_3	1	weight	FOC	288	all	4_4	227	haten	NA	NA	BOW
haten.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.9885802091764361	-0.284458702021437	NA	NA	bound	288	all	3_3	1	selection	5000	5000	nav	4_4	227	haten	NA	NA	BOW
haten.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.5562804015059106	-1.207790183548646	NA	NA	bound	288	all	3_3	1	selection	5000	5000	all	4_4	227	haten	NA	NA	BOW
haten.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.9204956693434789	0.2891699930421507	NA	NA	bound	288	all	3_3	1	selection	FOC	142	nav	4_4	227	haten	NA	NA	BOW
haten.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.946853742752157	0.22840628379004796	NA	NA	bound	288	all	3_3	1	selection	FOC	288	all	4_4	227	haten	NA	NA	BOW
haten.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.8539380909050095	-0.42900308496239314	NA	NA	bound	384	all	3_3	1	no	5000	5000	nav	4_4	229	haten	NA	NA	BOW
haten.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.3632544543662899	-1.5899902207093795	NA	NA	bound	384	all	3_3	1	no	5000	5000	all	4_4	229	haten	NA	NA	BOW
haten.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.8443274665141273	0.2871889758132858	NA	NA	bound	384	all	3_3	1	no	FOC	195	nav	4_4	229	haten	NA	NA	BOW
haten.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.8657027504580627	0.1983263762466181	NA	NA	bound	384	all	3_3	1	no	FOC	384	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-2.027985426648893	0.5230380444544842	NA	NA	nobound	435	lex	10_10	1	weight	5000	5000	nav	4_4	225	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-2.1508911597380487	-0.5257964234068727	NA	NA	nobound	435	lex	10_10	1	weight	5000	5000	all	4_4	225	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.8574729660111968	1.084073668507083	NA	NA	nobound	435	lex	10_10	1	weight	FOC	325	nav	4_4	225	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.8223627340303326	1.0710335751612028	NA	NA	nobound	435	lex	10_10	1	weight	FOC	435	all	4_4	225	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-2.0806597037032466	0.4156981050928893	NA	NA	nobound	435	lex	10_10	1	selection	5000	5000	nav	4_4	225	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-2.231869371828699	-0.5090656780847389	NA	NA	nobound	435	lex	10_10	1	selection	5000	5000	all	4_4	225	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.878956901070262	0.9590077789723622	NA	NA	nobound	435	lex	10_10	1	selection	FOC	325	nav	4_4	225	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.8495706626110968	0.9404068276998696	NA	NA	nobound	435	lex	10_10	1	selection	FOC	435	all	4_4	225	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-2.142869293445573	0.8222422957572515	NA	NA	nobound	950	lex	10_10	1	no	5000	5000	nav	4_4	228	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-2.458118239680083	-0.7043651722142666	NA	NA	nobound	950	lex	10_10	1	no	5000	5000	all	4_4	228	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.7650939798062029	1.3391416327863979	NA	NA	nobound	950	lex	10_10	1	no	FOC	717	nav	4_4	228	haten	NA	NA	BOW
haten.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.7072094714937143	1.3715137383329168	NA	NA	nobound	950	lex	10_10	1	no	FOC	950	all	4_4	228	haten	NA	NA	BOW
haten.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.5192659364937169	1.2074175500306168	NA	NA	nobound	618	all	10_10	1	weight	5000	5000	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.48808192048368954	-1.1526288675325833	NA	NA	nobound	618	all	10_10	1	weight	5000	5000	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.4066809194040078	1.38246409464098	NA	NA	nobound	618	all	10_10	1	weight	FOC	325	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.5098006556613263	1.3159794924122403	NA	NA	nobound	618	all	10_10	1	weight	FOC	618	all	4_4	229	haten	NA	NA	BOW
haten.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.10028555909946862	1.2531122738436256	NA	NA	nobound	618	all	10_10	1	selection	5000	5000	nav	4_4	229	haten	NA	NA	BOW
haten.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.9631412730834873	-1.5121464192690877	NA	NA	nobound	618	all	10_10	1	selection	5000	5000	all	4_4	229	haten	NA	NA	BOW
