_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
herstellen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.4318202828543916	0.6539521490392423	NA	NA	nobound	451	lex	10_10	1	selection	5000	5000	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.0285581521617537	0.5672102276088088	NA	NA	nobound	451	lex	10_10	1	selection	FOC	307	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.0314913024361785	0.589319588626919	NA	NA	nobound	451	lex	10_10	1	selection	FOC	451	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.4935138249869748	0.9474844635420798	NA	NA	nobound	1061	lex	10_10	1	no	5000	5000	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.6566995570822898	1.492741856061562	NA	NA	nobound	1061	lex	10_10	1	no	5000	5000	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.2194985614107559	0.9913799271928305	NA	NA	nobound	1061	lex	10_10	1	no	FOC	769	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.2221573369269467	1.0060817193111335	NA	NA	nobound	1061	lex	10_10	1	no	FOC	1061	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.3089409308510017	0.4877502895581903	NA	NA	nobound	628	all	10_10	1	weight	5000	5000	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.39046254481683174	0.9958027702392338	NA	NA	nobound	628	all	10_10	1	weight	5000	5000	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3199955550616981	0.40771363370361485	NA	NA	nobound	628	all	10_10	1	weight	FOC	307	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.2952717730073138	0.435246003298686	NA	NA	nobound	628	all	10_10	1	weight	FOC	628	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.28547231360543585	1.3002911235552126	NA	NA	nobound	628	all	10_10	1	selection	5000	5000	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.6754923379094971	1.7729112325290883	NA	NA	nobound	628	all	10_10	1	selection	5000	5000	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1066963793454088	0.9906870730233879	NA	NA	nobound	628	all	10_10	1	selection	FOC	307	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.07342177234949668	1.0180160267523428	NA	NA	nobound	628	all	10_10	1	selection	FOC	628	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	0.015954564402278812	1.8235453839231057	NA	NA	nobound	1477	all	10_10	1	no	5000	5000	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.2761579243147904	2.3288049133301785	NA	NA	nobound	1477	all	10_10	1	no	5000	5000	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.25239805124612086	1.5468424100910207	NA	NA	nobound	1477	all	10_10	1	no	FOC	769	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.22743168444023443	1.6317776114732103	NA	NA	nobound	1477	all	10_10	1	no	FOC	1477	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.7602130742357062	-0.12059959501190727	NA	NA	nobound	319	lex	5_5	1	weight	5000	5000	nav	4_4	227	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-1.0428697925642971	-0.2801307679873077	NA	NA	nobound	319	lex	5_5	1	weight	5000	5000	all	4_4	227	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6152492513588076	-0.002049477592796557	NA	NA	nobound	319	lex	5_5	1	weight	FOC	219	nav	4_4	227	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.6259596471232919	-0.0015265055743585347	NA	NA	nobound	319	lex	5_5	1	weight	FOC	319	all	4_4	227	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.9359151747043406	-0.01681177325652938	NA	NA	nobound	319	lex	5_5	1	selection	5000	5000	nav	4_4	227	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-1.1235748734715572	-0.1671617229488605	NA	NA	nobound	319	lex	5_5	1	selection	5000	5000	all	4_4	227	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6690521332023754	0.09835442173954527	NA	NA	nobound	319	lex	5_5	1	selection	FOC	219	nav	4_4	227	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.6825324075070748	0.1047974148811842	NA	NA	nobound	319	lex	5_5	1	selection	FOC	319	all	4_4	227	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.4604845618986233	0.0984556627439907	NA	NA	nobound	556	lex	5_5	1	no	5000	5000	nav	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-1.8584709102089119	0.24094063430718093	NA	NA	nobound	556	lex	5_5	1	no	5000	5000	all	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.1475492030755416	0.2796407418506871	NA	NA	nobound	556	lex	5_5	1	no	FOC	401	nav	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.1598468148882397	0.27894879025933195	NA	NA	nobound	556	lex	5_5	1	no	FOC	556	all	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.24621215842687083	-0.16914812755637063	NA	NA	nobound	441	all	5_5	1	weight	5000	5000	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.14861194012498288	-0.6054004243389755	NA	NA	nobound	441	all	5_5	1	weight	5000	5000	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2916135987782765	-0.034829085225058905	NA	NA	nobound	441	all	5_5	1	weight	FOC	219	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.23317029258001215	0.008455087400483546	NA	NA	nobound	441	all	5_5	1	weight	FOC	441	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.5885057022431891	0.7127084330412597	NA	NA	nobound	441	all	5_5	1	selection	5000	5000	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	1.3885647225351698	0.9638781665423132	NA	NA	nobound	441	all	5_5	1	selection	5000	5000	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.09434268932622414	0.4413252572371346	NA	NA	nobound	441	all	5_5	1	selection	FOC	219	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.11523305836774458	0.46810923318192393	NA	NA	nobound	441	all	5_5	1	selection	FOC	441	all	4_4	239	herstellen	NA	NA	BOW
