met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
ward.D	0.012514999957697162	0.010185944410530398	0.011230994781460425	diskwalificeren.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	504	518	512
Mean of methods	0.012118842693536457	0.01316159890906884	0.011225855204526125	diskwalificeren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	561	960	749
mcquitty	0.012324845113071732	0.010306094488409998	0.011225430364545621	diskwalificeren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.50	475	556	526
average	0.00990191749471111	0.01295253551245822	0.01122362788130996	diskwalificeren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	551	518	532
average	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	mds	769	96	533
complete	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	mds	781	17	494
average	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds	770	97	534
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	717	658	713
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	718	659	714
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	719	660	715
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	720	661	716
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.10	721	662	717
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	722	663	718
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.10	723	664	719
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	724	665	720
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	725	666	721
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	726	667	722
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	727	668	723
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	728	669	724
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	729	670	725
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	730	671	726
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	731	672	727
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	732	673	728
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	733	674	729
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	734	675	730
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	tsne.20	735	676	731
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	tsne.20	736	677	732
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	737	678	733
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	tsne.20	738	679	734
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	739	680	735
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	740	681	736
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	741	682	737
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	742	683	738
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	743	684	739
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	744	685	740
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	745	686	741
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	746	687	742
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	747	688	743
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	748	689	744
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	749	690	745
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	750	691	746
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	tsne.30	751	692	747
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	752	693	748
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	753	694	749
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	754	695	750
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	755	696	751
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	756	697	752
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	757	698	753
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	758	699	754
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	759	700	755
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	tsne.50	760	701	756
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	761	702	757
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	762	703	758
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	763	704	759
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	764	705	760
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	765	706	761
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	766	707	762
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	767	708	763
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	tsne.50	768	709	764
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	tsne.50	769	710	765
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	770	711	766
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	771	712	767
single	0.006233502774591701	0.056139151260793906	0.01122105706609342	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	772	713	768
mcquitty	0.012488612392618326	0.010186264574479919	0.01122055128977563	diskwalificeren.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	tsne.10	469	563	527
Mean of methods	0.011484332488088594	0.014495452092284358	0.011214510145817168	diskwalificeren.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	638	922	750
ward.D	0.012505418549105989	0.010155229404541836	0.011208452152449665	diskwalificeren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.10	505	520	513
average	0.012134744709660125	0.010396051585086458	0.011198310998257648	diskwalificeren.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	444	609	535
complete	0.011526347421454593	0.010876553262642192	0.011192026730910251	diskwalificeren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	508	480	495
mcquitty	0.012439374585197617	0.010168505481217904	0.0111898902755069	diskwalificeren.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	470	564	528
complete	0.012055379262636398	0.010414791814211725	0.01117519442396117	diskwalificeren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	488	509	496
ward.D	0.012087176392370766	0.010382553866906584	0.01117020618801386	diskwalificeren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	525	506	514
ward.D	0.012081555631656112	0.010378612300006146	0.011165524876165487	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.10	526	507	515
ward.D	0.012530115061537322	0.010068586265352512	0.011165291543701664	diskwalificeren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	mds	503	523	516
complete	0.012485029256027165	0.010090659815694077	0.01116087155624109	diskwalificeren.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	463	524	497
ward.D2	0.012440230004397238	0.010117620559305929	0.011159354611339486	diskwalificeren.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	492	519	505
mcquitty	0.01248888062600619	0.010079204601475667	0.011155397704687537	diskwalificeren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	468	570	529
Mean of methods	0.011210310834102729	0.017899037664272126	0.011155136150389251	diskwalificeren.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	668	770	751
Mean of methods	0.010876284689085766	0.014081150952411952	0.01115195346783618	diskwalificeren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	704	929	752
ward.D2	0.012107624130656148	0.010334390762376813	0.011150952315696754	diskwalificeren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	tsne.30	505	512	506
ward.D	0.012350413440620654	0.010152527827511174	0.011144135750355518	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	513	521	517
average	0.006589442873033899	0.03602860679114337	0.011141215898708513	diskwalificeren.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	mds	751	146	536
average	0.006749986189293517	0.03186820975136941	0.011140343066764183	diskwalificeren.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	mds	738	170	537
single	0.006749986189293517	0.03186820975136941	0.011140343066764183	diskwalificeren.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	707	889	769
Mean of methods	0.010603232724966606	0.02165003717929167	0.011139247280029511	diskwalificeren.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	tsne.20	730	585	753
Mean of methods	0.010456910723199151	0.01805238003316843	0.011134820618696216	diskwalificeren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	748	760	754
Mean of methods	0.011112415340658044	0.018476715419628496	0.011133195553394322	diskwalificeren.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	tsne.30	681	735	755
ward.D2	0.012432847957232701	0.010079018381476266	0.011132875543026567	diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30	493	522	507
complete	0.012448910806310111	0.010067614764486477	0.011132342584677818	diskwalificeren.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	tsne.30	465	527	498
ward.D2	0.011654036387706937	0.010653431749946962	0.011131292937567039	diskwalificeren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	tsne.10	523	495	508
Mean of methods	0.010705378117805761	0.018748635718814268	0.011129348661650733	diskwalificeren.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	tsne.10	719	719	756
ward.D2	0.011951274697616674	0.010408108389098553	0.011126439576465013	diskwalificeren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	mds	513	506	509
Mean of methods	0.009248750978110296	0.03816559685634851	0.01111521196621921	diskwalificeren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.50	854	168	757
Mean of methods	0.011781155363242075	0.013203257373198177	0.01111456845510743	diskwalificeren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	605	958	758
Mean of methods	0.01116391647838451	0.011750237861814884	0.011112372092224026	diskwalificeren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	675	980	759
Mean of methods	0.010889869881475223	0.01592388320789921	0.011112179418045426	diskwalificeren.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	701	867	760
ward.D	0.012538753656149076	0.009973969315156945	0.011110263682997537	diskwalificeren.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	501	527	518
ward.D	0.012538753656149076	0.009973969315156945	0.011110263682997537	diskwalificeren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	502	528	519
ward.D2	0.011933898169168494	0.010392975543766917	0.01111026231515029	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	mds	514	508	510
Mean of methods	0.010512639488772629	0.01812937791114988	0.011103518379599829	diskwalificeren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	tsne.10	744	755	761
Mean of methods	0.009985983268752652	0.01644147342851033	0.011098250019590106	diskwalificeren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	tsne.50	792	838	762
complete	0.01235487055582805	0.010072813117321623	0.01109774009756919	diskwalificeren.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	471	526	499
mcquitty	0.011027665078839614	0.011165245047867511	0.011096028615272403	diskwalificeren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	542	514	530
Mean of methods	0.010038608288116651	0.026011111363386085	0.011095239195085748	diskwalificeren.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	mds	781	414	763
Mean of methods	0.011241708616034414	0.01556319210384733	0.011093995386412378	diskwalificeren.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	663	877	764
ward.D	0.011498260318445122	0.01071456934602712	0.011092590129361101	diskwalificeren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	542	487	520
Mean of methods	0.010025899436243628	0.027112043266409543	0.011091009408630857	diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30	782	382	765
complete	0.009530673517357863	0.013249282463314624	0.011086464399162452	diskwalificeren.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	mds	601	384	500
complete	0.0120133855269352	0.010291950244591164	0.011086241191683065	diskwalificeren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	489	515	501
Mean of methods	0.011118321186955687	0.011747955351773278	0.011081627884810498	diskwalificeren.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	tsne.10	679	981	766
mcquitty	0.012353052119669066	0.010034944606806926	0.011073987124473765	diskwalificeren.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	tsne.50	472	571	531
Mean of methods	0.010819330376837771	0.029966440766080172	0.01107367146815002	diskwalificeren.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	709	322	767
Mean of methods	0.011262579981962416	0.017725743230104323	0.011072923927151469	diskwalificeren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	661	776	768
Mean of methods	0.010571792814423707	0.013690707524185487	0.011069570580145514	diskwalificeren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	734	942	769
ward.D	0.012384314530610965	0.01000457251700254	0.011067970688437814	diskwalificeren.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	512	526	521
mcquitty	0.011938301738329412	0.010305229081549164	0.011061817051831952	diskwalificeren.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	497	557	532
ward.D	0.012432393251194477	0.009959852510885644	0.01105961451610331	diskwalificeren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30	509	529	522
complete	0.012225289903869624	0.010091871197069955	0.01105660800660687	diskwalificeren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	tsne.30	477	523	502
Mean of methods	0.010421237814369757	0.016343377612998863	0.011054797726144998	diskwalificeren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	754	846	770
complete	0.011070023337428344	0.011035902722973528	0.011052936697525988	diskwalificeren.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	mds	524	471	503
mcquitty	0.01219761486081521	0.010102908183667166	0.01105188275205413	diskwalificeren.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	485	565	533
Mean of methods	0.010352493037885265	0.016654354169208664	0.01105118505610362	diskwalificeren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	759	829	771
complete	0.012165203806333997	0.010120140206625865	0.011048837127278178	diskwalificeren.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	479	521	504
Mean of methods	0.01159700646815535	0.014216302252955714	0.011042513354754894	diskwalificeren.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	626	925	772
Mean of methods	0.011180527390658092	0.014541104342472074	0.011041404788467402	diskwalificeren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	672	920	773
average	0.010528366405236455	0.011606327628702723	0.011041098621633398	diskwalificeren.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	mds	515	567	538
Mean of methods	0.009977889284280431	0.021761790270169418	0.011038763822779983	diskwalificeren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds	793	582	774
Mean of methods	0.010972288066191056	0.01541758281040237	0.011038162456584424	diskwalificeren.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	692	886	775
Mean of methods	0.01000192639040292	0.023023714483562472	0.011036676442442474	diskwalificeren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	mds	788	524	776
ward.D	0.012409065940326139	0.009931428760484619	0.011032858136846237	diskwalificeren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	510	531	523
complete	0.012405911690605885	0.009924307788505156	0.01102721682872492	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	467	532	505
ward.D2	0.012331502980405858	0.009966471082309207	0.01102356362151584	diskwalificeren.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	497	527	511
Mean of methods	0.009669005981353597	0.021985451364526613	0.011023147182704078	diskwalificeren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	822	572	777
Mean of methods	0.00966914188667084	0.03110171443266199	0.01102011152907798	diskwalificeren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds	821	290	778
complete	0.011223413394923023	0.010822420804076471	0.011019270264082625	diskwalificeren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	517	486	506
mcquitty	0.010265212711780975	0.011889161204262134	0.011017668040533165	diskwalificeren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	mds	580	484	534
Mean of methods	0.01080889364346193	0.01668420657470151	0.011015572819291	diskwalificeren.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	714	828	779
ward.D	0.012391121416606162	0.009907850518667084	0.011011214248867458	diskwalificeren.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.30	511	533	524
average	0.012009523654735357	0.010159830082067221	0.011007512546125846	diskwalificeren.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	456	616	539
complete	0.012343655145027057	0.009929460298877547	0.011005719789336775	diskwalificeren.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30	472	531	507
ward.D2	0.012164252845346012	0.010045049754949369	0.011003544529278465	diskwalificeren.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	504	523	512
Mean of methods	0.011253571957063353	0.015940178050586295	0.010994664305930943	diskwalificeren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	662	866	780
Mean of methods	0.009871338005201706	0.02184194485557976	0.01098756343108904	diskwalificeren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	tsne.20	807	579	781
average	0.01090399290410429	0.011069478031936072	0.010986112322782607	diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	502	585	540
complete	0.011272579432103	0.010710967864901253	0.010984599930171925	diskwalificeren.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	mds	516	492	508
average	0.008714614425502573	0.014841171185521163	0.010981173512138698	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds	618	449	541
Mean of methods	0.009848051559264452	0.017988468128061555	0.010980874895188215	diskwalificeren.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	809	764	782
ward.D	0.012297681787988334	0.009908582434257636	0.010974614417537262	diskwalificeren.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	517	532	525
ward.D2	0.011877281109981768	0.010176229252789855	0.010961151625007307	diskwalificeren.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	516	517	513
complete	0.012360492017616395	0.009844899672073524	0.010960203315611799	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	470	535	509
average	0.012214398767357686	0.009924194579813238	0.01095083758410324	diskwalificeren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	441	628	542
Mean of methods	0.01156199254859099	0.016376662203902975	0.010949412731278347	diskwalificeren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	628	842	783
Mean of methods	0.009915334182029653	0.0213182527525461	0.010936153158074507	diskwalificeren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	tsne.10	799	600	784
average	0.012088289198177126	0.009981687115285912	0.010934449482094735	diskwalificeren.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	450	623	543
single	0.007029505469247111	0.024598877790314284	0.010934352511494985	diskwalificeren.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	664	941	770
ward.D2	0.012244552256438362	0.009873564988644548	0.010931977719548002	diskwalificeren.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	tsne.20	501	535	514
average	0.011590076006903075	0.010344304806581524	0.01093181339070644	diskwalificeren.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	tsne.20	474	610	544
mcquitty	0.011687926828011478	0.010264841678952424	0.010930258605574944	diskwalificeren.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	511	559	535
ward.D2	0.012025307745865063	0.010016747361826941	0.010929513518593465	diskwalificeren.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	510	525	515
ward.D	0.012188011117678057	0.009902754623994502	0.010927179697098595	diskwalificeren.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	519	534	526
Mean of methods	0.010174861354157346	0.016345571499429744	0.01092589379373	diskwalificeren.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	770	845	785
average	0.012057535694086043	0.009983011370684563	0.01092264321595674	diskwalificeren.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	451	622	545
Mean of methods	0.008584465501821962	0.04558826006802628	0.010915878501219629	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	mds	902	106	786
Mean of methods	0.00880680531905328	0.02563004012742649	0.01091336190895713	diskwalificeren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.10	889	426	787
mcquitty	0.01188587753186676	0.010085828896920626	0.010912118042783941	diskwalificeren.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	500	567	536
mcquitty	0.012211806729023302	0.00985552813809097	0.010907869532915317	diskwalificeren.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	483	577	537
Mean of methods	0.01097578364391218	0.017647170734974616	0.010907308788085221	diskwalificeren.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	690	780	788
