measure	globqual	meanclassqual	classqual_herstructureren_2	classqual_herstructureren_3	classqual_herstructureren_1	model	technique
kNN_k10	0.4713574097135741	0.4014754393247544	0.6034869240348693	0.17745454545454545	0.42348484848484846	herstructureren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.0630064812064488	1.0296639056526748	1.197284850841368	1.0002077142990362	0.8914991518176203	herstructureren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.008573071910186062	-0.03468026445268242	0.09974601786082779	-0.054288658077322145	-0.1494981531415529	herstructureren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.42436523305982454	0.3377286430299536	0.633572481895833	0.10934402682498953	0.27026942036903817	herstructureren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k15	0.4540525114155251	0.38071711694571286	0.6059360730593607	0.16	0.3762152777777778	herstructureren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.45678704856787045	0.38149667911996676	0.6087173100871731	0.15054545454545454	0.3852272727272727	herstructureren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.0597802085740462	1.0422852304909869	1.1713498165957485	1.0715177458167433	0.8839881290604686	herstructureren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.028266074773098646	-0.039298783894654576	0.05864065044654318	-0.002876595773664249	-0.17366040635684266	herstructureren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.39215364539200964	0.32021462994541405	0.5850160447565029	0.15138589581820824	0.224241949261531	herstructureren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k15	0.4261986301369863	0.3656218924403856	0.5710045662100457	0.20433333333333334	0.3215277777777778	herstructureren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.4359900373599004	0.37544631243946314	0.5803237858032378	0.21381818181818182	0.3321969696969697	herstructureren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.061166381204612	1.053034307807844	1.1244366927424236	1.079024608131164	0.9556416225499442	herstructureren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	-0.021468488090522493	-0.023834279623343516	0.01795638648312823	0.0065727242405662165	-0.09603194959372499	herstructureren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.42183466188368457	0.3577038150454125	0.5605870047557225	0.17113755871367448	0.3413868816668404	herstructureren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k15	0.471175799086758	0.40986494799594114	0.5960045662100456	0.223	0.4105902777777778	herstructureren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.4855541718555417	0.4262458834924588	0.599252801992528	0.23781818181818182	0.44166666666666665	herstructureren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.075463171641744	1.0733533672405347	1.1263401659611114	1.1175550422595726	0.9761648935009202	herstructureren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	-0.030804076815248452	-0.026122835997531554	-0.006694617457724332	0.024710495432114	-0.09638438596698433	herstructureren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.4129447199606935	0.34220652516891037	0.5702733219745415	0.14107145910545124	0.31527479442673834	herstructureren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k15	0.4520547945205479	0.38616105403348555	0.5767123287671233	0.175	0.40677083333333336	herstructureren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.4597758405977584	0.39260301646603013	0.588293897882939	0.1789090909090909	0.4106060606060606	herstructureren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.0372063240664104	1.0021311186254638	1.162045958214176	0.9533002923358814	0.8910471053263341	herstructureren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	-0.009979824677073543	-0.043959094204136843	0.10446490685412031	-0.09832315179086784	-0.138019037675663	herstructureren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.34997162362814477	0.28980950417340196	0.4839137235353883	0.11889367998458472	0.2666211090002328	herstructureren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k15	0.4059931506849315	0.34722821537290716	0.5368721461187215	0.18033333333333332	0.32447916666666665	herstructureren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.4145703611457036	0.3577622803376228	0.5437110834371108	0.19927272727272727	0.3303030303030303	herstructureren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	mds
