	file	token_id	left	target	right	type
108	nrc_handelsblad_19991215_62		Richard III een fascinerende figuur . Al doet hij ons	huiveren	en zelfs terugdeinzen , we willen hem in zijn duivelse	huiver/verb
109	algemeen_dagblad_20030627_92		diersoort voor een tekenaar . Dat collectief sullige , dat	doelloze	"gewaggel . 	 Hij citeert de dialoog tussen twee pinguïns"	doelloos/adj
110	parool_20011109_94		1939 toestemming een wapenschild te laten maken . Een belangrijke	geste	, want daarmee kon de winkel reclame maken met de	geste/noun
111	parool_20000817_62		de Concorde zodanig wordt gemodificeerd dat het toestel zijn luchtwaardigheid	herwint	. Niet dat zoiets technisch onmogelijk zou zijn - verre	herwin/verb
112	de_morgen_20011010_01_44		op de mensheid : kunstenaars , politici , denkers ,	hervormers	", of heiligen . 	 De literatuur laat zich niet"	hervormer/noun
113	de_morgen_20011010_01_44		affiniteit heeft gevoeld met de gewelddadige mens die in het	duister	leeft . Waar liggen je sympathieën ? Bij de koloniale	duister/noun
114	de_morgen_20011010_01_44		utopie , die alleen vorm kan krijgen als alle vrijheidslievende	dwarsliggers	en andere eigenwijze individualisten van de aarde zijn gevaagd .	dwarsligger/noun
115	parool_20040207_181		toch niet zo onmenselijke regering ? Nee , deze zogenaamde	geste	is een zoveelste asociale streek om de schatkist te vullen	geste/noun
116	het_laatste_nieuws_20001226_01_219		verdieping al helemaal in lichterlaaie . De hele familie stond	hulpeloos	en verweesd naar het vernielende vuur te kijken andquot; .	hulpeloos/adj
117	algemeen_dagblad_20030628_244		Portugese jood en gesjeesde zakenman Miguel Lienzo wil zijn kapitaal	herwinnen	door het monopolie te verwerven op een verbazingwekkend nieuw product	herwin/verb
118	nrc_handelsblad_19990702_32		zagen de Europeanen hun capaciteiten . Sommigen werkten in de	huishouding	en waren ijverig en trouw . Ook hier werden bekeringspogingen	huishouding/noun
119	nrc_handelsblad_19991120_127		dat de gespannen belangstelling zóó groot zou zijn , de	dorst	naar nieuws , immer ander nieuws , zóó onleschbaar ,	dorst/noun
120	het_nieuwsblad_20010201_01_482		dertig jaar bezig in het Rode Kruis . Begonnen als	helper	in de afdeling Evergem en dat vier jaar volgehouden .	helper/noun
121	het_nieuwsblad_20010201_01_482		Dat is een team van zo'n vijftig mensen , van	helper	tot voorzitter . Daar krijg ik de leiding over .	helper/noun
122	het_nieuwsblad_20010201_01_482		niet te klagen . Natuurlijk zijn er nogal wat jonge	helpers	die al na enkele jaren afhaken . Omdat ze hogere	helper/noun
123	het_nieuwsblad_20010201_01_482		tijdens enkele weekends . *Het RK heeft voortdurend nood aan	helpers	. Op maandag 5 februari begint in Oudenaarde een nieuwe	helper/noun
124	het_nieuwsblad_20010201_01_482		februari begint in Oudenaarde een nieuwe ( gratis ) cursus	helper	. Wie 16 geworden is , mag inschrijven . Einde	helper/noun
125	het_laatste_nieuws_19990407_01_637		aangrijpend mooi . Van Assche speelt als Valentin de introverte	hoekige	revolutionair die aanvankelijk veel moeite heeft met de gevoelerige homo	hoekig/adj
126	algemeen_dagblad_20020808_5		krijgen problemen als de economie inderdaad op een ` dubbele	dip	' afstevent . De dreigende recessie én de slechte stemming	dip/noun
127	het_nieuwsblad_20010518_01_496		en bakwagenrace . Wij zorgen er uiteraard voor dat niemand	dorst	"of honger krijgt . 	"	dorst/noun
128	het_nieuwsblad_20011108_01_136		"een eerste nederlaag in 30 partijen toe . 	 Zwaar"	drieluik	voor SK Gooik Met een ruime zege op Pede krikte	drieluik/noun
129	het_nieuwsblad_20011108_01_136		vertrouwen op . Coach Rudy Vanhassel weet dat een zwaar	drieluik	volgt met de topper tegen De Hoek en nadien derby's	drieluik/noun
130	de_morgen_20031208_01_51		heeft met Schiphol te maken en met de vele zakelijke	dienstverleners	die aan de noordkant van de Randstad gevestigd zijn ,	dienstverlener/noun
131	de_standaard_20000328_01_65		. De dienstverlening bestaat onder meer uit het leveren van	hardware	, software en de netwerken die nodig zijn voor de	hardware/noun
132	het_laatste_nieuws_20030925_01_507		vergezellen hem . David Millar neemt bij de Britten dubbel	hooi	op zijn vork . Wiggins rijdt de tijdrit , Hammond	hooi/noun
133	de_morgen_20000401_01_54		op hun beurt , in de schaduw in hun voertuig	hangend	. Over het exacte aantal illegale riksja's kan men binnen	hangend/adj
134	de_morgen_19990211_01_115		prijs van 1994 is zonder imprignatie . Conclusie : een	dwarsligger	kost 500 frank per stuk , maar werd lange tijd	dwarsligger/noun
135	parool_20011119_119		nog aan het teruglopen , maar beleggers investeren over de	dip	heen . Ook andere externe omstandigheden helpen mee . De	dip/noun
136	de_standaard_20020102_01_21		grond moeten komen , heeft hij de koe bij de	hoorns	gevat . Flanders Farm is een Tsjechische firma en heeft	hoorn/noun
137	algemeen_dagblad_20000725_52		op $130 . Tot de opvallende fondsen behoorde verder financiële	dienstverlener	American Express die $2,30 zakte op $56,95 ondanks een winststijging	dienstverlener/noun
138	algemeen_dagblad_20020216_81		. Kies maar uit : toeren in een oldtimer ,	gluren	naar sterren of vallen voor engelenhaar . 1Stuur je oldtimer	gluur/verb
139	algemeen_dagblad_20020216_81		een geplette tulband . Een beetje vreemde omschrijving voor een	hemelse	traktatie . Zeker voor de variant die met pompoenmoes is	hemels/adj
140	algemeen_dagblad_19990628_19		de militaire politie , Ioannidis . Hij plaatste Papadopoulos onder	huisarrest	. Aan het regime van Ioannidis kwam in juli 1974	huisarrest/noun
141	de_standaard_20020102_01_14		doden . Of Saeed in de gevangenis zit of onder	huisarrest	is geplaatst , is niet duidelijk . De laatste methode	huisarrest/noun
142	de_morgen_20020928_01_86		hier ongegeneerd jengelen , soms in unisono met de fijn	gestileerde	trompetklank van Bert Joris , wat een erg mooi effect	gestileerd/adj
143	volkskrant_20011030_75		dat achter de formele betrekkingen van de rechtsstaat een informele	huishouding	schuil gaat . Wie wat voor elkaar wil krijgen ,	huishouding/noun
144	algemeen_dagblad_20040527_158		een langer verblijf in Italië . Marcus Gronhölm is alsnog	gediskwalificeerd	als winnaar van de rally van Cyprus . Zijn Peugeot	diskwalificeer/verb
145	nrc_handelsblad_20020912_53		"volledig verantwoordelijk 	 te voelen voor 	 deze trieste en"	droeve	"geschiedenis . 	 HBG hield een eigen schaduwboekhouding bij om"	droef/adj
146	de_standaard_19990619_01_158		45 minuten en wordt rechtstreeks uitgezonden op de BBC .	Gehoorzamen	: Sophie veroorzaakte heel wat ophef toen bekend werd dat	gehoorzaam/verb
147	de_standaard_19990619_01_158		"ze vandaag zal beloven dat ze haar man zal 	"	gehoorzamen	"	 . De meeste commentatoren vonden dat toch wat te"	gehoorzaam/verb
148	nrc_handelsblad_20010308_125		water opgelost . Wordt vaak gecombineerd met alcohol . Verhoogt	hartslag	, geeft energie , versnelt denkprocessen , verhoogt huidgevoeligheid .	hartslag/noun
149	de_standaard_20000108_01_51		ze wederkeert . Ze schreien ook als ze zelf met	hangende	pootjes terug thuiskomen , zoals Dalida's Gigi l'Amoroso , die	hangend/adj
150	de_standaard_20000108_01_51		. In een auto stappen is een sprong in het	duister	wagen , een ontdekkingstocht door de jungle beginnen , aftastend	duister/noun
151	het_laatste_nieuws_20040209_01_69		Puurs was snel ter plaatse om het slachtoffer uit zijn	hachelijke	positie te bevrijden . Een medisch urgentieteam en ziekenwagen van	hachelijk/adj
152	parool_19990210_30		is zondag in Israël overleden . De zoon van de	hervormde	dominee in Laag-Keppel bleek al vroeg een weinig meegaand kereltje	hervormd/adj
153	het_nieuwsblad_20010821_01_255		. Ergens betekende het uitvallen van Imagbudu dus wel een	hemels	"geschenk voor deze jongen . 	 Selectieproblemen Na het herstel"	hemels/adj
154	de_standaard_20031223_01_28		de Spelen binnenhalen , dan zullen zij nadien een blijvende	hefboom	vormen voor economische groei . In de aanloop ernaar toe	hefboom/noun
155	volkskrant_19990610_83		op Trafalgar Square mag het fuckin ' Europees parlement ter	helle	varen en de zonaanbidder in St. James ' Park gaat	hel/adj
