_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
blik.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	279	lex	3_3	1	weight	NA	NA	5000	5000	all	4_4	NA	238	blik
blik.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	279	lex	3_3	1	weight	NA	NA	FOC	193	nav	4_4	NA	238	blik
blik.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	279	lex	3_3	1	weight	NA	NA	FOC	279	all	4_4	NA	238	blik
blik.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	279	lex	3_3	1	selection	NA	NA	5000	5000	nav	4_4	NA	238	blik
blik.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	279	lex	3_3	1	selection	NA	NA	5000	5000	all	4_4	NA	238	blik
blik.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	279	lex	3_3	1	selection	NA	NA	FOC	193	nav	4_4	NA	238	blik
blik.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	279	lex	3_3	1	selection	NA	NA	FOC	279	all	4_4	NA	238	blik
blik.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	402	lex	3_3	1	no	NA	NA	5000	5000	nav	4_4	NA	260	blik
blik.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	402	lex	3_3	1	no	NA	NA	5000	5000	all	4_4	NA	260	blik
blik.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	402	lex	3_3	1	no	NA	NA	FOC	289	nav	4_4	NA	260	blik
blik.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	402	lex	3_3	1	no	NA	NA	FOC	402	all	4_4	NA	260	blik
blik.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	365	all	3_3	1	weight	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	365	all	3_3	1	weight	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	365	all	3_3	1	weight	NA	NA	FOC	193	nav	4_4	NA	276	blik
blik.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	365	all	3_3	1	weight	NA	NA	FOC	365	all	4_4	NA	276	blik
blik.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	365	all	3_3	1	selection	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	365	all	3_3	1	selection	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	365	all	3_3	1	selection	NA	NA	FOC	193	nav	4_4	NA	276	blik
blik.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	365	all	3_3	1	selection	NA	NA	FOC	365	all	4_4	NA	276	blik
blik.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	543	all	3_3	1	no	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	543	all	3_3	1	no	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	543	all	3_3	1	no	NA	NA	FOC	289	nav	4_4	NA	276	blik
blik.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	543	all	3_3	1	no	NA	NA	FOC	543	all	4_4	NA	276	blik
blik.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	selection2	NA	dependency	NA	bound	331	NA	NA	1	weight	NA	NA	5000	5000	nav	4_4	NA	276	blik
