	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
huldigen.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	selection2		dependency		bound	348			1	selection			5000	5000	all	4_4		229	huldigen
huldigen.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	selection2		dependency		bound	348			1	selection			FOC	134	nav	4_4		229	huldigen
huldigen.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	selection2		dependency		bound	348			1	selection			FOC	348	all	4_4		229	huldigen
huldigen.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	selection2		dependency		bound	549			1	no			5000	5000	nav	4_4		229	huldigen
huldigen.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSall	selection2		dependency		bound	549			1	no			5000	5000	all	4_4		229	huldigen
huldigen.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	selection2		dependency		bound	549			1	no			FOC	232	nav	4_4		229	huldigen
huldigen.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	selection2		dependency		bound	549			1	no			FOC	549	all	4_4		229	huldigen
huldigen.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	selection3		dependency		bound	460			1	weight			5000	5000	nav	4_4		229	huldigen
huldigen.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	selection3		dependency		bound	460			1	weight			5000	5000	all	4_4		229	huldigen
huldigen.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	selection3		dependency		bound	460			1	weight			FOC	169	nav	4_4		229	huldigen
huldigen.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	selection3		dependency		bound	460			1	weight			FOC	460	all	4_4		229	huldigen
huldigen.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	selection3		dependency		bound	460			1	selection			5000	5000	nav	4_4		229	huldigen
huldigen.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	selection3		dependency		bound	460			1	selection			5000	5000	all	4_4		229	huldigen
huldigen.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	selection3		dependency		bound	460			1	selection			FOC	169	nav	4_4		229	huldigen
huldigen.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	selection3		dependency		bound	460			1	selection			FOC	460	all	4_4		229	huldigen
huldigen.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	selection3		dependency		bound	789			1	no			5000	5000	nav	4_4		229	huldigen
huldigen.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	selection3		dependency		bound	789			1	no			5000	5000	all	4_4		229	huldigen
