cw	pmi_4	raw_4	pmi_10	raw_10	freq
02/569.31.44/num	7.376581	1.0	6.46295	1	1
02/num			-0.43525964	1	1028
0206267705/num			6.46295	1	1
02:45/num			5.769803	1	2
03-776.33.00/num			6.3341174	4	5
03/247.66.66/num			6.057485	2	3
03/460.18.18/num	5.5848217	1.0	4.6711907	1	6
03/num	0.044538967	1.0	-0.8133987	1	1627
030-2945444/num			6.0246954	1	2
0486-60.09.75/num			6.46295	1	1
050/33.75.88/num	4.332059	1.0	3.437659	1	21
051/40.12.96/num	5.5439997	1.0	4.6546617	1	7
058/23.24.25/num			4.970046	1	5
059/80.18.83/num			5.1960025	1	4
0599-44.24.82/num			6.46295	1	1
070-777777/num			5.769803	1	2
070.4454545/num			5.769803	1	2
070/223.221/num			5.5466595	1	3
070/66.77.88/num	6.277969	1.0	5.4513493	1	3
070/777.777/num			5.364338	1	3
070_nummer/noun	4.978686	3.0	4.5758805	5	33
0800-0543/num			3.5670383	1	19
0800-1100/num			3.9780436	1	13
0800-30201/num			3.2440743	1	30
09-233.71.82/name			6.46295	1	1
09-253.51.28/num			6.2806287	1	2
09/225.80.90/num			6.973776	1	1
0900-0008/num	6.277969	1.0	5.364338	1	3
0900-0742/num			6.46295	1	1
0900-1475/num	6.683434	1.0	5.8477645	1	2
0900-80.800/num			3.6934915	1	18
0900-9292/num			3.070121	1	30
0900/num			0.99805963	1	252
09002022184/num	6.277969	1.0	5.364338	1	3
09009296/num			5.1411943	1	4
0900_lijn/noun	4.2855387	1.0	3.3995593	1	22
0900_nummer/noun			1.286518	1	179
0901/num	7.376581	1.0	6.46295	1	1
0909/num			3.9018545	1	13
0909_nummer/noun			3.3719077	1	22
0K2/noun			6.46295	1	1
"1""In/noun"			5.7951207	1	2
1,0/num	2.0596874	1.0	1.8483249	2	206
1,00/num	3.0039737	1.0	2.094769	1	80
1,0090/num			5.630041	1	3
1,011/num			5.364338	1	3
1,0150/num			5.364338	1	3
1,02/num	2.4385166	1.0	1.5440648	1	140
1,023/num			5.076656	1	4
1,03/num			1.491749	1	147
1,039/num	5.605875	1.0	4.7312946	1	6
1,04/num	2.2503874	1.0	1.3500593	1	169
1,05/num	1.3107631	1.0	1.105421	2	433
1,052/num	5.4306707	1.0	4.5170403	1	7
1,07/num			1.4569925	1	152
1,08/num	2.0100212	1.0	1.1063639	1	215
1,087/num			6.46295	1	1
1,1/num	0.6194743	5.0	0.50802	11	4322
1,10/num	2.6921377	4.0	2.3453078	7	434
1,11/num			1.5828034	1	133
1,1202/num			6.46295	1	1
1,125/num			3.4449673	1	21
1,13/num	1.9011642	1.0	0.99362504	1	239
1,139/num			4.6711907	1	6
1,14/num	1.8687122	1.0	0.9631216	1	248
1,145/num			4.2657256	1	9
1,15/num	2.064813	3.0	1.8570303	6	610
1,1630/num			4.8535123	1	5
1,18/num			1.1023625	1	216
1,193/num			4.6711907	1	6
1,2%/num	3.0792956	1.0	2.1670263	1	74
1,2/num	0.6677172	9.0	0.6603856	22	7412
1,20/num	2.04346	3.0	1.9836673	7	622
1,213/num			5.5466595	2	5
1,22/num	2.1474798	1.0	1.9330425	2	188
1,225/num			5.364338	1	3
1,23/num			2.353717	3	185
1,24/num			0.36263126	1	454
1,25/num	0.75545293	3.0	0.54614186	6	2265
1,264/num			5.364338	1	3
1,283/num			4.434802	1	8
1,29/num			2.3317916	3	190
1,3/noun			3.327456	1	23
1,3/num	0.9186565	9.0	0.5278356	15	5767
1,30/num	2.2029061	2.0	1.7039151	3	355
1,3036/num			5.769803	1	2
1,31/num			1.9720691	1	90
1,33/num	2.282831	1.0	1.3865272	1	164
1,35/num	2.0545878	3.0	1.4407982	4	616
1,36/num	2.4717693	2.0	1.9726299	3	271
1,39/num	3.4645581	3.0	3.547886	8	151
1,3954/num	7.376581	1.0	6.46295	1	1
1,4/num	1.5943469	15.0	1.1625621	24	4888
1,40/num	2.0773268	2.0	2.087948	5	401
1,41/num			1.852295	1	102
1,42/num	2.414611	1.0	1.5025561	1	143
1,43/num			2.3990648	3	179
1,44/num			1.3209943	1	173
1,45/num			1.6342366	3	381
1,46/num	2.454777	1.0	1.5554557	1	138
1,49/num			2.255525	3	206
1,4_liter_benzine_motor/noun	6.683434	1.0	5.769803	1	2
1,5/num	0.803029	15.0	0.5945482	30	10787
1,50/num	1.9315964	4.0	1.72243	8	931
1,52/num	2.6403828	1.0	1.7377772	1	115
1,53/num	3.119197	2.0	2.2183912	2	142
1,54/num	2.2967308	1.0	2.085308	2	161
1,56/num	2.2736704	1.0	2.0657272	2	165
1,59/num			1.6350366	1	128
1,6-liter/noun	4.380849	1.0	3.467218	1	20
1,6/noun			3.338385	1	23
1,6/num	1.6112856	15.0	1.4675026	32	4810
1,60/num	1.3904432	1.0	1.5821705	3	399
1,63%/num			5.364338	1	3
1,63/num			1.4214624	1	157
1,64/num	2.4759467	1.0	1.5782561	1	135
1,65/num	1.2754217	1.0	1.0653533	2	447
1,678/num			6.46295	1	1
1,7%/num			2.326984	1	64
1,7/num	1.0623822	8.0	0.56564754	12	4438
1,70/num	2.0141158	2.0	1.7990395	4	427
1,73%/num			5.1960025	1	4
1,738/num			5.962175	2	4
1,74/num			2.6014314	4	192
1,75/num	1.9211532	5.0	1.3558366	7	1175
1,76/num	2.9836764	2.0	2.084367	2	163
1,78/num			2.0719018	2	163
1,8%/num	3.1793792	1.0	2.9588954	2	67
1,8-liter/noun			3.5725784	1	18
1,8/num	1.1937475	10.0	1.1671778	24	4868
1,80/num	2.7221446	5.0	1.8130935	5	527
1,814/num			6.46295	2	2
1,818/num			5.076656	1	4
1,85/num	1.968849	2.0	1.0652401	2	448
1,87/num			1.4380833	1	155
1,89/num			1.4776328	1	149
