_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
harden.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.13036977816167186	-0.3501861792683771	NA	NA	BOW	nobound	462	all	5_5	1	weight	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.2185660223467794	-0.8726904060643925	NA	NA	BOW	nobound	462	all	5_5	1	weight	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.33363056837563443	-0.4021072461937433	NA	NA	BOW	nobound	462	all	5_5	1	weight	FOC	237	nav	4_4	NA	279	harden
harden.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.23688045709096084	-0.3365817069540993	NA	NA	BOW	nobound	462	all	5_5	1	weight	FOC	462	all	4_4	NA	279	harden
harden.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	-0.04506611028528719	-0.2728252034437162	NA	NA	BOW	nobound	462	all	5_5	1	selection	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.27572002768789605	-1.2934328303254088	NA	NA	BOW	nobound	462	all	5_5	1	selection	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.32463882498786817	-0.3258164024838727	NA	NA	BOW	nobound	462	all	5_5	1	selection	FOC	237	nav	4_4	NA	279	harden
harden.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.21674527661413484	-0.31222475060565413	NA	NA	BOW	nobound	462	all	5_5	1	selection	FOC	462	all	4_4	NA	279	harden
harden.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	-0.7293404674129168	0.40722751353608616	NA	NA	BOW	nobound	704	all	5_5	1	no	5000	5000	nav	4_4	NA	279	harden
harden.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	-1.5435708542868642	1.6471676821544072	NA	NA	BOW	nobound	704	all	5_5	1	no	5000	5000	all	4_4	NA	279	harden
harden.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.7728845077746767	0.09062090384581613	NA	NA	BOW	nobound	704	all	5_5	1	no	FOC	362	nav	4_4	NA	279	harden
harden.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.6990717030113911	0.06543455558356141	NA	NA	BOW	nobound	704	all	5_5	1	no	FOC	704	all	4_4	NA	279	harden
harden.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	0.7977323069253798	-0.42839816942957226	NA	NA	BOW	nobound	221	lex	3_3	1	weight	5000	5000	nav	4_4	NA	273	harden
