_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
heffen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.5244739892500261	0.010546331037878174	NA	NA	bound	261	all	3_3	1	weight	FOC	261	all	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.769359344226267	0.41620880952458117	NA	NA	bound	261	all	3_3	1	selection	5000	5000	nav	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	1.0708617585799665	0.14643953015728456	NA	NA	bound	261	all	3_3	1	selection	5000	5000	all	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.528439816596348	0.14421635563832322	NA	NA	bound	261	all	3_3	1	selection	FOC	136	nav	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.472448509800108	0.12995551408533373	NA	NA	bound	261	all	3_3	1	selection	FOC	261	all	4_4	216	heffen	NA	NA	BOW
heffen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.8031335112732005	0.576954437006692	NA	NA	bound	372	all	3_3	1	no	5000	5000	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	1.2521089200426732	0.40572105729198404	NA	NA	bound	372	all	3_3	1	no	5000	5000	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.5559660222455816	0.24522426538520326	NA	NA	bound	372	all	3_3	1	no	FOC	195	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.5252797324790146	0.23249237449332247	NA	NA	bound	372	all	3_3	1	no	FOC	372	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.11243867951730142	-0.3255529854414959	NA	NA	nobound	454	lex	10_10	1	weight	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.134559949502346	-0.8043350281750581	NA	NA	nobound	454	lex	10_10	1	weight	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12732367433589473	-0.28784284873279303	NA	NA	nobound	454	lex	10_10	1	weight	FOC	314	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.10805819480620109	-0.3065471476144891	NA	NA	nobound	454	lex	10_10	1	weight	FOC	454	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.3364759675639234	-0.5195415701253046	NA	NA	nobound	454	lex	10_10	1	selection	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
