type	token_id	sense	confidence	annotator	annotations	annotators	agree_nr	agree_fct	left	target	right	comment	geen_reason	my_comment	comment_2	sense_2
schaal	schaal/noun/parool_20031021_73/371	geen	2	6_2	2	3	0.33	minority	archeologen en andere geleerden . ) Gouden kettingen en edelstenen van gefortuneerde vrouwen . Zilveren	schalen	, kommetjes in de vorm van een schelp en kandelabers . Eenvoudige snuisterijen . Grote	Ik twijfel tussen 2.2 en 2.3.	between	5;6	NA	between
heet	heet/adj/algemeen_dagblad_19990211_82/173	geen	2	14_3	3	4	0.25	minority	, vakbonden en bisschoppen drongen erop aan en de PvdA voelde voor de verkiezingen de	hete	adem van GroenLinks en SP in de nek . Wallage formuleerde de volgende voorwaarden :	twijfel tussen letterlijke betekenis van 'hete adem' of figuurlijke betekenis betrekking hebbend op het spreekwoord 'iemands hete adem in je nek voelen', 'opgejut of opgejaagd worden'	between	between literal and idiomatic sense	NA	between
heet	heet/adj/algemeen_dagblad_20010413_168/25	geen	2	14_3	2	4	0.25	minority	elkaar . Als er een sport is waar je het ijzer moet smeden als het	heet	is , dan is het hier wel . Dat verbaast mij elke keer weer .	twijfel tussen het kiezen van letterlijke of figuurlijke/spreekwoordelijke betekenis	between	between literal and idiomatic sense	NA	between
heet	heet/adj/algemeen_dagblad_20020116_138/321	geen	2	14_3	2	4	0.25	minority	kunnen we voor de verkiezingen zaken doen . Je moet het ijzer smeden als het	heet	is .	twijfel tussen het kiezen van letterlijke of figuurlijke/spreekwoordelijke betekenis	between	between literal and idiomatic sense	NA	between
haken	haak/verb/de_morgen_19990520_01_1/1036	geen	2	4_1	3	3	0.33	none	verlangen naar begrip zonder meer , de lokkreet van iets dat naar vorm en gestalte	haakt	. Daarom wordt alles gepresenteerd als pure uitwisbaarheid , een krijttekening op de stoep .	Te weinig context.Waarschijnlijk 'zeker handwerk maken door met een staafje...', maar de tweede betekenis 'met of als een haak vastraken' zou ook kunnen, hoewel het gebruik van 'naar' dan wel een beetje vreemd is.	context	1;5	NA	unclear
helpen	help/verb/de_standaard_20000524_01_47/15	geen	0	15_1	2	3	0.33	minority	Gebrekkige kennis Nederlands en clichés rem op informatie over andere gemeenschap Filip en Mathilde	helpen	journalist over taalgrens Gebrekkige kennis van het Nederlands en clichés zetten een rem op genuanceerde	context is gebroken en niet volledig, geen mooie zin	context	evaluative	NA	unclear
hemels	hemels/adj/het_nieuwsblad_20030225_01_5/1	geen	3	20_1	2	3	0.67	majority	NA	Hemelse	aardappelen Wie zin heeft in een letterlijk hemelse smaak , kan voortaan ruimte-aardappelen kopen .	Onduidelijk wat er juist bedoeld wordt, niet genoeg context/verkeerde zinsconstructie?	context	evaluative	NA	unclear
herstructureren	herstructureer/verb/het_laatste_nieuws_20020201_01_279/117	geen	5	4_1	2	3	0.33	minority	sinds de jaren andapos;70 de Noord-Limburgse stad doormidden snijdt , op andquot; mensenmaat andquot; te	herstructureren	, wordt dus binnen enkele jaren werkelijkheid . De Ringlaan regelt immers sinds 25 jaar	Er is te weinig context en er is niet echt een logische zin.	context	evaluative	NA	unclear
dof	dof/adj/het_nieuwsblad_20031126_01_11/182	geen	5	5_3	1	3	1	full	, bewaking , bezoeker , bloed , bloeden , broodtrommel , die , dief ,	dof	, doolhof , eenenvijftig , eet , file , fons , gas , godsdienst ,	Geen context beschikbaar. Simpele opsomming van verschillende woorden waaronder 'dof'.	context	metalinguistic	NA	unclear
spot	spot/noun/nrc_handelsblad_20030830_167/380	geen	0	3_2	2	3	0.67	majority	zijn zelfs r-geschrapte woorden als bak , dam , gaf , pak , stek ,	spot	, kuk , bood , staten , steven en boes waar de weggelaten r zowel	Te weinig context, opsomming	context	metalinguistic	NA	unclear
