batch	username	annotator	code
gemeen_6	aline.vanhaver	ann_2	9_2
stof_4	aline.vanhaver	ann_2	9_2
heet_9	aline.vanhaver	ann_2	9_2
gekleurd_6	aline.vanhaver	ann_2	9_2
geldig_3	aline.vanhaver	ann_2	9_2
blik_5	aline.vanhaver	ann_2	9_2
herhalen_3	aline.vanhaver	ann_2	9_2
herroepen_5	aline.vanhaver	ann_2	9_2
hoop_5	aline.vanhaver	ann_2	9_2
herinneren_6	aline.vanhaver	ann_2	9_2
helpen_6	aline.vanhaver	ann_2	9_2
haten_2	aline.vanhaver	ann_2	9_2
hoopvol_4	aline.vanhaver	ann_2	10_2
dof_6	aline.vanhaver	ann_2	10_2
hachelijk_4	aline.vanhaver	ann_2	10_2
goedkoop_6	aline.vanhaver	ann_2	10_2
hoop_4	aline.vanhaver	ann_2	10_2
schaal_5	aline.vanhaver	ann_2	10_2
staal_4	aline.vanhaver	ann_2	10_2
herstructureren_3	aline.vanhaver	ann_2	10_2
haken_8	aline.vanhaver	ann_2	10_2
herstellen_6	aline.vanhaver	ann_2	10_2
huldigen_3	aline.vanhaver	ann_2	10_2
herinneren_3	aline.vanhaver	ann_2	10_2
goedkoop_2	lara.lismont	ann_3	17_3
heet_7	lara.lismont	ann_3	17_3
grijs_8	lara.lismont	ann_3	17_3
hemels_4	lara.lismont	ann_3	17_3
diskwalificeren_6	lara.lismont	ann_3	17_3
harden_1	lara.lismont	ann_3	17_3
haken_9	lara.lismont	ann_3	17_3
staal_3	lara.lismont	ann_3	17_3
helpen_2	lara.lismont	ann_3	17_3
blik_6	lara.lismont	ann_3	17_3
horde_4	lara.lismont	ann_3	17_3
dof_2	lara.lismont	ann_3	17_3
hoopvol_4	lara.lismont	ann_3	10_3
dof_6	lara.lismont	ann_3	10_3
hachelijk_4	lara.lismont	ann_3	10_3
goedkoop_6	lara.lismont	ann_3	10_3
hoop_4	lara.lismont	ann_3	10_3
schaal_5	lara.lismont	ann_3	10_3
staal_4	lara.lismont	ann_3	10_3
herstructureren_3	lara.lismont	ann_3	10_3
haken_8	lara.lismont	ann_3	10_3
herstellen_6	lara.lismont	ann_3	10_3
huldigen_3	lara.lismont	ann_3	10_3
herinneren_3	lara.lismont	ann_3	10_3
